sku_id,week_start,weekly_units,units_sold_lag_1,units_sold_lag_7,units_sold_rolling_mean_7,avg_unit_price,holidays_in_week,promo_events_in_week,promotion,revenue_scaled,week_of_year,month,season,is_holiday,promo_event,day_of_week,holiday,promotion_event,month_sin,month_cos,week_sin,week_cos,day_sin,day_cos,days_to_next_holiday,days_to_next_promo,category,subcategory,product_age_days,is_loss_leader,unit_cost,list_price,margin_pct
NB-DÉC-051,2024-01-07,41,36.0,0.0,6.312925170068027,-1.023425103723492,1,1,0.0,-0.5325086088104776,1,1,Winter,0,,Monday,No Holiday,No Promotion,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0.0,1.0,5,25,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-01-14,37,34.0,41.0,5.346938775510204,-1.0186250720507826,1,1,0.0,-0.5272404180581411,2,1,Winter,0,,Monday,No Holiday,No Promotion,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0.0,1.0,5,18,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-01-21,35,36.0,37.0,5.142857142857143,-1.0186250720507826,1,1,0.0,-0.5430449903151505,3,1,Winter,0,,Monday,No Holiday,No Promotion,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0.0,1.0,5,11,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-01-28,50,48.0,35.0,6.122448979591836,-1.0232768547117732,1,1,0.0,-0.5377767995628141,4,1,Winter,0,Republic Day Sale,Monday,No Holiday,No Promotion,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,0.0,1.0,4,4,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-02-04,39,36.0,50.0,6.040816326530612,-1.0220352896698588,1,1,0.0,-0.5377767995628141,5,1,Winter,0,,Monday,No Holiday,No Promotion,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,0.0,1.0,5,56,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-02-11,57,50.0,39.0,6.061224489795919,-1.0272946154141558,1,1,0.0,-0.5272404180581411,6,2,Winter,0,,Monday,No Holiday,No Promotion,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0.0,1.0,5,49,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-02-18,33,45.0,57.0,7.387755102040816,-1.0186250720507826,1,1,0.0,-0.5325086088104776,7,2,Winter,0,,Monday,No Holiday,No Promotion,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0.0,1.0,5,42,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-02-25,33,36.0,33.0,4.836734693877552,-1.0186250720507826,1,1,0.0,-0.5325086088104776,8,2,Winter,0,,Monday,No Holiday,No Promotion,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0.0,1.0,5,35,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-03-03,38,35.0,33.0,4.734693877551021,-1.0186250720507826,1,1,0.0,-0.5535813718198235,9,2,Winter,0,,Monday,No Holiday,No Promotion,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,0.0,1.0,5,28,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
NB-DÉC-051,2024-03-10,39,40.0,38.0,6.0,-1.0186250720507826,1,1,0.0,-0.5061676550487952,10,3,Summer,0,,Monday,No Holiday,No Promotion,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0.0,1.0,5,21,Décor,Mirrors,795,0,-1.0164437454940882,-1.0045039192217804,-0.9634654365037042
